,PROPERTY_TYPE,CITY,OWNTYPE,BEDROOM_NUM,FURNISH,FACING,AGE,TOTAL_FLOOR,PRICE_SQFT,AREA,PRICE,BALCONY_NUM,FLOOR_NUM,BHK,LOCALITY,LATITUDE,LONGITUDE,LUXURY
9720,Residential Apartment,Gurgaon,1,3.0,4,3,6,4,9876.0,1119.0,834600000.0,3,2,3,Sector 36 Sohna,28.29722,77.06475,Luxury
9721,Independent/Builder Floor,Gurgaon,0,4.0,4,5,1,3,26.0,2300.0,60000.0,3,2,4,Sector 65,28.4056704,77.070837,Luxury
9722,Independent House/Villa,Gurgaon,1,10.0,1,5,2,5,308333.0,540.0,18500000.0,4,5,10,DLF Phase 3,28.4934896,77.1039288,Luxury
9723,Residential Apartment,Gurgaon,1,2.0,4,3,5,4,6684.0,1190.0,795400000.0,3,3,2,Sector 92,28.412695,76.9174417,Luxury
9724,Residential Apartment,Gurgaon,1,3.0,4,3,5,4,6478.0,1432.0,927700000.0,3,2,3,Sector 92,28.412695,76.9174417,Luxury
9725,Residential Apartment,Gurgaon,1,2.0,4,3,6,4,12704.0,951.0,698800000.0,3,3,2,Sector 36 Sohna,28.29722,77.06475,Luxury
9726,Residential Apartment,Gurgaon,1,3.0,4,3,6,4,10147.0,1550.0,10700000.0,4,2,3,Sohna,28.288317,77.066043,Luxury
9727,Residential Apartment,Gurgaon,1,3.0,4,3,6,4,9554.0,1225.0,859900000.0,3,3,3,Sohna,28.288317,77.066043,Luxury
9728,Residential Apartment,Gurgaon,0,4.0,4,3,2,25,29.0,2527.0,74000.0,4,4,4,Sector 62,28.424718,77.038262,Luxury
9729,Residential Apartment,Gurgaon,1,3.0,4,1,2,18,9972.0,2587.0,25800000.0,4,2,3,Sector 57,28.4234414,77.0765927,Luxury
9730,Independent/Builder Floor,Gurgaon,0,4.0,4,3,6,4,350.0,1800.0,70000.0,4,0,4,Sector 43,28.4532404,77.0881034,Luxury
9731,Independent/Builder Floor,Gurgaon,0,3.0,4,5,2,3,180.0,4500.0,90000.0,3,1,3,DLF Phase 1,28.472243,77.104872,Luxury
9732,Independent House/Villa,Gurgaon,1,4.0,4,5,6,2,208333.0,1728.0,40000000.0,4,2,4,Sushant Lok Phase 3,77.02664,28.4595,Luxury
9733,Residential Apartment,Gurgaon,0,4.0,4,3,6,30,49.0,3625.0,17500000.0,3,19,4,Sector 59,28.409463,77.108186,Luxury
9734,Residential Apartment,Gurgaon,0,3.0,4,2,1,21,31.0,2358.0,82000.0,3,8,3,Sector 67,28.389679,77.059355,Luxury
9735,Residential Apartment,Gurgaon,0,3.0,4,5,1,17,36.0,1950.0,72000.0,3,3,3,Sector 66,28.3982709,77.053568,Luxury
9737,Residential Apartment,Gurgaon,1,3.0,4,8,1,17,15433.0,2203.0,34000000.0,3,3,3,Sector 66,28.3982709,77.053568,Luxury
9738,Residential Apartment,Gurgaon,0,4.0,4,5,6,27,38.0,3890.0,15500000.0,3,12,4,Sector 62,28.41201,77.09085,Luxury
9739,Residential Apartment,Gurgaon,0,3.0,4,5,1,16,33.0,1996.0,67000.0,3,5,3,Sector 66,28.3982709,77.053568,Luxury
9740,Residential Apartment,Gurgaon,1,3.0,2,5,5,19,4761.0,2100.0,10000000.0,4,4,3,Sector 37D,28.444091,76.967096,Luxury
9741,Residential Apartment,Gurgaon,1,3.0,4,5,1,22,10946.0,2150.0,18500000.0,4,18,3,Sector 89 A,28.4373379,76.9440586,Luxury
9742,Residential Apartment,Gurgaon,1,3.0,4,5,1,22,6647.0,1775.0,11800000.0,4,14,3,Sector 37D,28.45147,76.96728,Luxury
9743,Residential Apartment,Gurgaon,0,3.0,4,4,2,30,64.0,2315.0,1500000.0,4,28,3,Sector 54,28.443185,77.108897,Luxury
9744,Residential Apartment,Gurgaon,1,2.0,4,5,1,35,11005.0,1245.0,10400000.0,3,22,2,Sector 68,28.3883395,77.0417097,Luxury
9745,Residential Apartment,Gurgaon,1,4.0,4,5,2,17,1127.0,26602.0,30000000.0,3,4,4,Sector 49,28.4091958,77.0478112,Luxury
9746,Residential Apartment,Gurgaon,1,4.0,4,2,1,24,8639.0,2355.0,14600000.0,4,20,4,Sector 106,28.499693,76.999962,Luxury
9747,Residential Apartment,Gurgaon,1,3.0,4,4,1,24,7207.0,1665.0,12000000.0,3,4,3,Sector 106,28.4989451,76.9999178,Luxury
9748,Independent/Builder Floor,Gurgaon,1,3.0,4,5,5,4,10548.0,1403.0,14800000.0,4,2,1,Sector 81,28.388058,76.94343,Luxury
9749,Residential Apartment,Gurgaon,1,3.0,4,7,1,22,8744.0,2150.0,18800000.0,4,11,3,Sector 89 A,28.435487,76.944537,Luxury
9750,Residential Apartment,Gurgaon,0,3.0,4,5,1,22,18.0,1775.0,32000.0,3,9,3,Sector 37D,28.4522621,76.9731219,Luxury
9751,Residential Apartment,Gurgaon,1,2.0,4,4,1,8,7220.0,1385.0,10000000.0,4,2,2,Sector 106,28.5033,76.99743,Luxury
9752,Residential Apartment,Gurgaon,1,3.0,4,5,6,19,17125.0,1745.0,25500000.0,3,12,3,Sector 108,28.516331087497,76.995685046165,Luxury
9753,Residential Apartment,Gurgaon,1,2.0,2,4,1,13,8125.0,1055.0,6500000.0,2,6,2,Sector 37D,28.4474915,76.9714036,Luxury
9754,Residential Apartment,Gurgaon,0,4.0,4,8,3,17,25.0,2734.0,70000.0,4,15,4,Sector 28,28.476487,77.073759,Luxury
9756,Residential Apartment,Gurgaon,0,3.0,1,2,3,20,57.0,2610.0,1500000.0,3,11,3,DLF Phase 5,28.44673,77.09355,Luxury
9757,Residential Apartment,Gurgaon,0,4.0,1,2,3,20,67.0,2610.0,17500000.0,3,12,4,DLF Phase 5,28.44673,77.09355,Luxury
9758,Residential Apartment,Gurgaon,1,2.0,4,5,3,20,17253.0,1420.0,24500000.0,4,0,2,DLF Phase 4,28.465786,77.083806,Luxury
9759,Independent House/Villa,Gurgaon,0,6.0,4,3,1,2,20.0,8000.0,1600000.0,4,2,6,Sector 109,28.513368,76.996723,Luxury
9760,Residential Apartment,Gurgaon,0,2.0,4,3,1,23,27.0,700.0,19500.0,3,6,2,Sector 37D,28.447041,76.979595,Luxury
9761,Residential Apartment,Gurgaon,0,6.0,4,3,1,27,16.0,7400.0,12500000.0,4,26,6,Sector 109,28.515309,77.003236,Luxury
9762,Residential Apartment,Gurgaon,0,3.0,1,3,3,5,36.0,1800.0,65000.0,3,5,3,Sector 28,28.475639,77.0823482,Luxury
9763,Independent House/Villa,Gurgaon,0,5.0,4,5,1,2,14.0,6000.0,85000.0,4,2,5,Sector 109,28.5100747,77.0045349,Luxury
9764,Residential Apartment,Gurgaon,1,3.0,4,5,3,20,15756.0,1777.0,28000000.0,3,13,3,DLF Phase 4,28.465786,77.083806,Luxury
9765,Residential Apartment,Gurgaon,0,4.0,4,5,1,24,16.0,3198.0,42000.0,4,8,4,Sector 102,28.4746969,76.9686267,Luxury
9766,Independent House/Villa,Gurgaon,1,3.0,4,2,3,1,179310.0,1305.0,26000000.0,2,1,3,Palam Vihar,28.5129305,77.037736,Luxury
9767,Independent House/Villa,Gurgaon,1,3.0,4,4,3,1,144508.0,1557.0,25000000.0,2,1,3,Palam Vihar,28.5129305,77.037736,Luxury
9768,Residential Apartment,Gurgaon,1,4.0,4,6,1,23,10750.0,2300.0,21500000.0,4,9,4,Sector 37D,28.455542686641,76.9733897433,Luxury
